1.8391449451446533:	imu;	yaw,	-4.829108238220215
1.8439083099365234:	servo;	-18
1.859100103378296:	servo;	-19
1.868664026260376:	controller;	speed_command,	0.6|	angle_command,	2.82924200816
1.8687248229980469:	waypoints;	goal_x,	-71.42083423831036|	goal_y,	42.427306705804725
1.8704745769500732:	imu;	yaw,	-4.828017234802246
1.8749184608459473:	imu;	yaw,	-4.826926231384277
1.879263162612915:	imu;	yaw,	-4.825835704803467
1.9015660285949707:	controller;	speed_command,	0.6|	angle_command,	2.85120909897
1.9016382694244385:	waypoints;	goal_x,	-71.42083120612722|	goal_y,	42.427307117746544
1.9047069549560547:	state;	y m,	3.63233014773|	vx,	1.03352898536|	angle,	0.394096355968|	x m,	-0.425262032364|	ang v,	-0.726027267724|	y,	42.42730853046954|	vy,	0.641530065924|	x,	-71.42081828289287
1.9050819873809814:	encoder;	counts,	6
1.9096636772155762:	imu;	yaw,	-4.824744701385498
1.932990312576294:	controller;	speed_command,	0.6|	angle_command,	2.8522962659
1.9330554008483887:	waypoints;	goal_x,	-71.42083120612722|	goal_y,	42.427307117746544
1.9353060722351074:	imu;	yaw,	-4.822563171386719
1.939098596572876:	imu;	yaw,	-4.819290637969971
1.9436063766479492:	imu;	yaw,	-4.818199634552002
1.968475341796875:	controller;	speed_command,	0.6|	angle_command,	2.85638046466
1.9685454368591309:	waypoints;	goal_x,	-71.42083120612722|	goal_y,	42.427307117746544
1.9735581874847412:	state;	y m,	3.91167633523|	vx,	0.916560558367|	angle,	0.389752837949|	x m,	-0.336811889875|	ang v,	-1.12239456011|	y,	42.42730932569505|	vy,	0.507248584694|	x,	-71.42081488037668
1.9739131927490234:	encoder;	counts,	7
1.9784066677093506:	imu;	yaw,	-4.817108631134033
2.000916004180908:	controller;	speed_command,	0.6|	angle_command,	2.86745095582
2.0009756088256836:	waypoints;	goal_x,	-71.42082836492794|	goal_y,	42.42730726480475
2.0057475566864014:	state;	y m,	3.91167633523|	vx,	0.916560558367|	angle,	0.389752837949|	x m,	-0.336811889875|	ang v,	-1.12239456011|	y,	42.42730932569505|	vy,	0.507248584694|	x,	-71.42081488037668
2.00624680519104:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
2.0108444690704346:	imu;	yaw,	-4.814927101135254
2.0325028896331787:	controller;	speed_command,	0.6|	angle_command,	2.88878820949
2.032564640045166:	waypoints;	goal_x,	-71.42082836492794|	goal_y,	42.42730726480475
2.0355122089385986:	imu;	yaw,	-4.816018104553223
2.03991961479187:	state;	y m,	3.91167633523|	vx,	0.916560558367|	angle,	0.389752837949|	x m,	-0.336811889875|	ang v,	-1.12239456011|	y,	42.42730932569505|	vy,	0.507248584694|	x,	-71.42081488037668
2.040294647216797:	encoder;	counts,	8
2.064055919647217:	controller;	speed_command,	0.6|	angle_command,	2.89332967982
2.0641207695007324:	waypoints;	goal_x,	-71.42082836492794|	goal_y,	42.42730726480475
2.06609845161438:	imu;	yaw,	-4.819290637969971
2.0704565048217773:	imu;	yaw,	-4.822563171386719
2.095090389251709:	controller;	speed_command,	0.6|	angle_command,	2.9034996909
2.095158815383911:	waypoints;	goal_x,	-71.4208259972676|	goal_y,	42.427307129422154
2.1004111766815186:	imu;	yaw,	-4.826926231384277
2.1266956329345703:	controller;	speed_command,	0.6|	angle_command,	2.95858123039
2.1267592906951904:	waypoints;	goal_x,	-71.4208259972676|	goal_y,	42.427307129422154
2.1276934146881104:	imu;	yaw,	-4.831289768218994
2.1296603679656982:	servo;	-18
2.132720947265625:	imu;	yaw,	-4.83783483505249
2.1375062465667725:	imu;	yaw,	-4.843288898468018
2.1443917751312256:	servo;	-17
2.153189182281494:	imu;	yaw,	-4.847651958465576
2.1643905639648438:	controller;	speed_command,	0.6|	angle_command,	2.97242875922
2.1644513607025146:	waypoints;	goal_x,	-71.42082124548556|	goal_y,	42.42730704020177
2.1680855751037598:	state;	y m,	4.30262882733|	vx,	0.555444212204|	angle,	0.337392402249|	x m,	-0.231046219802|	ang v,	-1.30293721462|	y,	42.427310276598206|	vy,	0.200603784062|	x,	-71.42081011846389
