7.044003963470459:	lidar;	23	24
7.072993993759155:	lidar;	22
7.0730061531066895:	lidar;	24	24
7.099005937576294:	lidar;	24
7.0990331172943115:	lidar;	25	24
7.121999025344849:	lidar;	22
7.122043132781982:	lidar;	26	24
7.151363134384155:	lidar;	20
7.151381969451904:	lidar;	27	24
7.168017148971558:	lidar;	19
7.16803503036499:	lidar;	28	24
7.189002990722656:	lidar;	19
7.189018964767456:	lidar;	29	24
7.222722053527832:	lidar;	19
7.222738027572632:	lidar;	30	24
7.226979970932007:	lidar;	20
7.2279369831085205:	lidar;	31	24
7.253879070281982:	lidar;	19
7.253891944885254:	lidar;	32	24
7.2630510330200195:	lidar;	18
7.263067960739136:	lidar;	33	24
7.280988931655884:	lidar;	20
7.280998945236206:	lidar;	34	24
7.297981023788452:	lidar;	34
7.29798698425293:	lidar;	35	24
7.313975095748901:	lidar;	414
7.313987970352173:	lidar;	36	24
