7.020747661590576:	state;	angle,	0.89491928588|	x,	-71.42089258253262|	vx,	-0.300754518722|	ang v,	0.217369421692|	vy,	-0.368019736374|	y,	42.42738323319282
7.025339603424072:	encoder;	counts,	-14
7.055682420730591:	imu;	yaw,	5.974480628967285
7.056457281112671:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
7.064985036849976:	servo;	-3
7.072927236557007:	servo;	-4
7.0849151611328125:	state;	angle,	1.25498007851|	x,	-71.42089479496245|	vx,	-0.362134617024|	ang v,	0.194554160405|	vy,	-0.59717852293|	y,	42.4273865608286
7.0884621143341064:	imu;	yaw,	5.975571155548096
7.092645168304443:	servo;	-3
7.120527267456055:	encoder;	counts,	-15
7.1226842403411865:	imu;	yaw,	5.974480628967285
7.12346339225769:	servo;	-4
7.141549587249756:	servo;	-5
7.154638051986694:	servo;	-7
7.155771255493164:	state;	angle,	1.58193756135|	x,	-71.42089630211855|	vx,	-0.157225892244|	ang v,	0.154957063857|	vy,	-0.789708200889|	y,	42.42738900899747
7.162440299987793:	servo;	-8
7.188017129898071:	imu;	yaw,	5.975571155548096
7.188513517379761:	encoder;	counts,	-16
7.193572521209717:	servo;	-9
7.214810609817505:	state;	angle,	1.90707166994|	x,	-71.42089759019242|	vx,	0.110595625013|	ang v,	0.388985326776|	vy,	-0.736227216922|	y,	42.42739134582605
7.215830564498901:	servo;	-10
7.249672174453735:	servo;	-9
7.252248287200928:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
7.256078004837036:	imu;	yaw,	5.9766621589660645
7.256552457809448:	encoder;	counts,	-17
7.2576940059661865:	servo;	-10
7.281684398651123:	imu;	yaw,	5.975571155548096
7.297257423400879:	state;	angle,	2.29445853839|	x,	-71.4208990956123|	vx,	0.35749581947|	ang v,	0.45798100035|	vy,	-0.565287940037|	y,	42.42739491241032
7.334210634231567:	imu;	yaw,	5.974480628967285
7.334888458251953:	encoder;	counts,	-18
7.340772390365601:	imu;	yaw,	5.973389148712158
7.345218896865845:	imu;	yaw,	5.974480628967285
7.359341144561768:	imu;	yaw,	5.973389148712158
7.37465763092041:	state;	angle,	2.5667094167|	x,	-71.42089986744516|	vx,	0.484887192539|	ang v,	0.508240154996|	vy,	-0.415765564282|	y,	42.42739767324039
7.382335901260376:	imu;	yaw,	5.972298622131348
7.403873920440674:	imu;	yaw,	5.973389148712158
7.411117315292358:	encoder;	counts,	-19
7.423595666885376:	imu;	yaw,	5.972298622131348
