2.6081464290618896:	servo;	-3
2.616109609603882:	imu;	yaw,	1.4202617406845093
2.6164276599884033:	imu;	yaw,	1.4202617406845093
2.6187853813171387:	imu;	yaw,	1.4202617406845093
2.619410991668701:	servo;	-3
2.624865770339966:	imu;	yaw,	1.4202617406845093
2.6310744285583496:	imu;	yaw,	1.4202617406845093
2.635838747024536:	imu;	yaw,	1.4202617406845093
2.637972831726074:	servo;	-3
2.640904664993286:	encoder;	counts,	25
2.648402452468872:	imu;	yaw,	1.4202617406845093
2.6521289348602295:	imu;	yaw,	1.4202617406845093
2.6581366062164307:	imu;	yaw,	1.4202617406845093
2.662513256072998:	imu;	yaw,	1.4202617406845093
2.6674625873565674:	imu;	yaw,	1.4202617406845093
2.671565055847168:	imu;	yaw,	1.4202617406845093
2.6768367290496826:	imu;	yaw,	1.4202617406845093
2.680750846862793:	imu;	yaw,	1.4202617406845093
2.6865673065185547:	imu;	yaw,	1.4202617406845093
2.6921613216400146:	imu;	yaw,	1.4202617406845093
2.7659223079681396:	servo;	-3
2.7777481079101562:	servo;	-4
2.785797357559204:	servo;	-4
